Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
APPROVED,Not Applicable,2024-04-04T13:30:52.806000Z,2024-04-04T13:32:26.758000Z,2024-04-12T09:38:59.320000Z,2024-04-04T13:32:27.678260Z,94,C8TRMCWU,71,39,Female,White,Germany,Germany,Germany,German,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:58.119000Z,2024-04-04T13:35:06.625000Z,2024-04-12T09:38:59.876000Z,2024-04-04T13:35:07.279478Z,189,C8TRMCWU,15,51,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
APPROVED,Not Applicable,2024-04-04T13:30:54.878000Z,2024-04-04T13:33:10.544000Z,2024-04-12T09:39:00.606000Z,2024-04-04T13:33:11.224253Z,136,C8TRMCWU,771,50,Male,White,Congo the Democratic Republic of the,Greece,Greece,Greek,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:16.780000Z,2024-04-04T13:33:45.261000Z,2024-04-12T09:39:01.296000Z,2024-04-04T13:33:45.851449Z,149,C8TRMCWU,480,39,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:16.437000Z,2024-04-04T13:34:30.117000Z,2024-04-12T09:39:01.908000Z,2024-04-04T13:34:31.266421Z,194,C8TRMCWU,299,23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
APPROVED,Not Applicable,2024-04-04T13:31:23.916000Z,2024-04-04T13:32:17.651000Z,2024-04-12T09:39:02.783000Z,2024-04-04T13:32:18.230545Z,54,C8TRMCWU,198,51,Female,White,Estonia,Estonia,Estonia,Estonian,No,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:24.642000Z,2024-04-04T13:33:00.847000Z,2024-04-12T09:39:03.525000Z,2024-04-04T13:33:02.367980Z,97,C8TRMCWU,1,19,Male,White,Estonia,Estonia,Estonia,Estonian,No,Other
APPROVED,Not Applicable,2024-04-04T13:31:18.190000Z,2024-04-04T13:31:57.580000Z,2024-04-12T09:39:04.178000Z,2024-04-04T13:31:58.186875Z,40,C8TRMCWU,138,21,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
APPROVED,Not Applicable,2024-04-04T13:31:24.712000Z,2024-04-04T13:32:53.403000Z,2024-04-12T09:39:04.997000Z,2024-04-04T13:32:54.017802Z,89,C8TRMCWU,60,33,Female,White,Austria,Austria,Austria,German,No,DATA_EXPIRED
APPROVED,Not Applicable,2024-04-04T13:31:19.117000Z,2024-04-04T13:32:11.127000Z,2024-04-12T09:39:05.754000Z,2024-04-04T13:32:11.871312Z,53,C8TRMCWU,902,30,Male,White,Greece,Greece,Greece,Greek,No,Part-Time
